Year,Site,Transect_ID,Cover_Class,5,10,15,20,25,30,35,40,45,50,NPS_Severity
2023,AM,AM_B_T1,Black,87.5,87.5,87.5,77.5,87.5,82.5,92.5,82.5,97.5,77.5,
2023,AM,AM_B_T1,Dried_Unburned,0,0,2.5,2.5,2.5,12.5,0,2.5,2.5,0,
2023,AM,AM_B_T1,Bare_Ground,17.5,12.5,2.5,22.5,2.5,2.5,7.5,12.5,0,32.5,
2023,AM,AM_B_T2,Black,87.5,57.5,77.5,87.5,87.5,92.5,82.5,77.5,87.5,42.5,
2023,AM,AM_B_T2,Dried_Unburned,2.5,2.5,0,7.5,12.5,0,2.5,2.5,2.5,17.5,
2023,AM,AM_B_T2,Bare_Ground,12.5,37.5,27.5,2.5,2.5,7.5,17.5,32.5,2.5,42.5,
2023,AM,AM_B_T3,Black,22.5,97.5,87.5,47.5,92.5,77.5,87.5,52.5,92.5,57.5,
2023,AM,AM_B_T3,Dried_Unburned,2.5,2.5,2.5,2.5,0,7.5,2.5,2.5,0,0,
2023,AM,AM_B_T3,Bare_Ground,82.5,0,7.5,47.5,2.5,22.5,12.5,37.5,12.5,42.5,
2023,AM,AM_B_T4,Black,82.5,82.5,82.5,62.5,97.5,82.5,37.5,72.5,32.5,42.5,
2023,AM,AM_B_T4,Dried_Unburned,0,0,7.5,17.5,2.5,0,17.5,27.5,37.5,12.5,
2023,AM,AM_B_T4,Bare_Ground,27.5,22.5,7.5,32.5,0,17.5,42.5,7.5,32.5,47.5,
2023,AM,AM_B_T5,Black,77.5,77.5,97.5,37.5,52.5,47.5,52.5,87.5,57.5,37.5,
2023,AM,AM_B_T5,Dried_Unburned,17.5,22.5,2.5,7.5,7.5,37.5,47.5,17.5,17.5,12.5,
2023,AM,AM_B_T5,Bare_Ground,7.5,12.5,2.5,57.5,42.5,27.5,0,0,17.5,57.5,
